'ENT9', 'P2rx2', 'Krt19', 'Myl1', 'Adgrg6', 'Ano2', 'Gpr149'
'ENT8', 'Ucn3', 'Phox2a', 'Myl1', 'AW551984', 'Etaa1os', 'Kcna5'
'ENT6', 'Htr2b', 'Tm4sf4', 'mt-Nd3', 'mt-Co3', 'mt-Co2', 'Chrnb4'
'ENT5', 'Hoxa5', 'Hspb7', 'Dmkn', 'Dsc3', 'Hmx2', 'E530001K10Rik'
'ENT4', 'Hoxa5', 'Myc', 'Dmkn', 'Dsc3', 'mt-Atp6', 'Casz1'
'ENT7', 'Cckar', 'Nxph2', 'Gna14', 'Pgam1', 'Tbx3', 'mt-Nd4l'
'ENT3', 'Cox8b', 'Anxa11', 'Ass1', 'S100a4', 'Tes', 'Adamts5'
'ENT2', 'Cartpt', 'Bglap', 'Ass1', 'Camp', 'Tes', 'Slc35d3'
'ENT1', 'Gal', 'Moxd1', 'Tmem255b', 'Tmc3', 'Kcnj5', 'Chrna3'
'ENTG1', 'Cenpf', 'Hist1h2ap', 'Cks2', 'Prc1', 'Top2a', 'Ccna2'
'ENTG4', 'Tax1bp3', '4930589L23Rik', 'Col20a1', 'Postn', 'Sumo2', 'Rps12-ps3'
'ENTG2', 'Hspa1a', 'Casp4', 'Gm12216', 'Atf3', 'Socs3', 'Cxcl1'
'ENTG3', 'Hspa1a', 'Parp14', 'Pdlim1', 'Mmp2', 'Matn2', 'Actg1'
'ENTG6', 'Ifi27l2a', 'Lbp', 'H2-Q7', 'Scn7a', 'Sostdc1', 'Sfrp1'
'ENTG5', 'Fam198b', '4930589L23Rik', 'Olfml2a', 'Scn7a', 'Col18a1', 'Sfrp1'
'ENTG7', 'Col12a1', 'Cpxm2', 'Ctgf', 'Col9a2', 'Tbx3os1', 'Col11a1'
'ENMFB', 'Dpt', 'Spon2', 'Lum', 'Thbs2', 'Tcf21', 'Ms4a4d'
'MOL3', 'Klk6', 'Nkx2-9', 'Cdkn1c', 'Rab37', '2700046A07Rik', 'Trf'
'MOL2', 'Hapln2', 'Dock5', 'Anln', 'Ugt8a', 'Gjb1', 'Prr5l'
'MFOL1', 'Ccp110', 'Snx33', 'Hhip', 'Tmem88b', 'Arap2', 'Ano4'
'MOL1', 'Opalin', 'Ninj2', 'Efhd1', 'Mal', 'Ppp1r14a', 'Mog'
'MFOL2', '2210011C24Rik', 'Wfdc18', 'Tmem141', 'Birc2', 'Fam214a', 'Ctps'
'NFOL1', 'Cnksr3', 'H2-Ab1', 'Rras2', 'Il23a', 'Tmem163', 'Kif19a'
'NFOL2', 'Tmem2', 'Gm26834', 'Rras2', 'Itpr2', 'Sema4d', 'Nckap5'
'COP2', 'Tnr', 'Rinl', 'Gpr17', 'Enpp6', 'Pdcd4', 'Vcan'
'COP1', 'Neu4', 'Brca1', 'Bmp4', 'Pak4', 'Lims2', 'Pycr1'
'HBSER2', 'Tph2', 'Slc17a8', 'Maob', 'Fev', 'Slc22a3', 'Hs6st2'
'HBSER1', 'Slc6a4', 'Wfdc12', 'Slc18a2', 'Fev', 'C130021I20Rik', 'Cryba2'
'HBSER3', 'Gchfr', 'Il1r1', 'Slc18a2', 'Fev', 'Slc22a3', 'Cryba2'
'HBSER4', 'Trh', 'Pgr15l', 'Slc18a2', 'Gabre', 'Nkx6-1', 'Calcr'
'HBSER5', 'Tph2', '5031425F14Rik', 'Slc18a2', 'Fev', 'Slc22a3', 'Calcr'
'TEGLU15', 'Scube1', 'Tekt5', 'Fam19a2', 'Hrk', 'Plcxd2', 'Gpr26'
'TEGLU16', 'RP23-231J2.1', 'Dbpht2', 'Cdkl4', 'Nwd2', 'D630023F18Rik', 'Trps1'
'TEGLU5', 'Rxfp1', 'Fermt1', 'Cbln4', 'Cemip', 'Ovol2', 'Igfbp5'
'TEGLU4', 'Fezf2', 'RP24-134N2.1', 'Kcng1', 'Kcnf1', 'Galnt9', 'Nos1ap'
'TEGLU22', 'Lypd1', 'Prss23', 'Kcng1', 'C1ql3', 'Myh7', 'Enc1'
'TEGLU23', 'Lpl', 'Gm26644', 'Nr4a3', 'Nptx1', 'Rnf182', 'Slc26a4'
'TEGLU24', 'Spink8', 'Lefty1', 'Neurod6', '4921539H07Rik', 'Wipf3', 'Rprml'
'TEGLU17', 'Trim54', 'Slc30a3', 'Lmo3', 'Nptxr', 'Fam19a1', 'Kcnj4'
'TEGLU18', 'Abi3bp', '4930426D05Rik', 'Ndst4', 'Klhl14', 'Rgs14', 'Atp2b4'
'TEGLU19', 'Oxtr', 'Bmp3', 'Ndst4', 'C1ql3', 'Crym', 'Gm10605'
'TEGLU2', 'Cplx3', 'Nxph3', 'Hs3st4', 'Ipcef1', 'Mpped1', 'E130012A19Rik'
'TEGLU3', 'Rprm', 'Rell1', '3110035E14Rik', 'Tbr1', 'Garnl3', 'Ephb6'
'TEGLU14', 'Cbln1', 'Ntsr1', 'Htr1a', 'Nwd2', 'Gsg1l', 'Satb1'
